threshold,tp_cases,fp_hits,precision,recall,f1
0.05,400,365,0.5229,1.0,0.6867
0.1,399,73,0.8453,0.9975,0.9151
0.15,398,37,0.9149,0.995,0.9533
0.2,395,4,0.99,0.9875,0.9887
0.25,386,3,0.9923,0.965,0.9785
0.3,378,2,0.9947,0.945,0.9692
0.35,371,0,1.0,0.9275,0.9624
0.4,363,0,1.0,0.9075,0.9515
0.45,349,0,1.0,0.8725,0.9319
0.5,334,0,1.0,0.835,0.9101
0.55,326,0,1.0,0.815,0.8981
0.6,320,0,1.0,0.8,0.8889
0.65,309,0,1.0,0.7725,0.8717
0.7,284,0,1.0,0.71,0.8304
0.75,265,0,1.0,0.6625,0.797
0.8,248,0,1.0,0.62,0.7654
0.85,222,0,1.0,0.555,0.7138
0.9,200,0,1.0,0.5,0.6667
0.95,177,0,1.0,0.4425,0.6135
1.0,162,0,1.0,0.405,0.5765
