artifact_type,length_tokens,transform,n,recall_at_tstar,mean_score,min_score
code,25,reformatted,5,1.0,0.533,0.333
code,25,truncated,5,0.8,0.427,0.136
code,25,verbatim,5,1.0,0.655,0.375
code,50,reformatted,5,1.0,0.592,0.375
code,50,truncated,5,1.0,0.655,0.425
code,50,verbatim,5,1.0,0.875,0.375
code,100,reformatted,5,1.0,0.718,0.625
code,100,truncated,5,1.0,0.844,0.375
code,100,verbatim,5,1.0,0.815,0.375
code,200,reformatted,5,1.0,0.734,0.381
code,200,truncated,5,0.6,0.647,0.131
code,200,verbatim,5,1.0,0.876,0.381
code,500,reformatted,5,1.0,0.822,0.583
code,500,truncated,5,1.0,0.765,0.25
code,500,verbatim,5,1.0,0.839,0.575
prose,25,reformatted,5,1.0,0.675,0.383
prose,25,truncated,5,1.0,0.44,0.25
prose,25,verbatim,5,1.0,0.7,0.525
prose,50,reformatted,5,1.0,0.58,0.442
prose,50,truncated,5,1.0,0.575,0.5
prose,50,verbatim,5,1.0,0.714,0.525
prose,100,reformatted,5,1.0,0.842,0.675
prose,100,truncated,5,0.8,0.6,0.1
prose,100,verbatim,5,1.0,0.813,0.596
prose,200,reformatted,5,1.0,0.71,0.55
prose,200,truncated,5,1.0,0.78,0.55
prose,200,verbatim,5,1.0,0.745,0.55
prose,500,reformatted,5,1.0,0.995,0.975
prose,500,truncated,5,1.0,0.89,0.725
prose,500,verbatim,5,1.0,0.951,0.756
structured,25,reformatted,5,1.0,0.597,0.237
structured,25,truncated,5,1.0,0.605,0.275
structured,25,verbatim,5,1.0,0.795,0.55
structured,50,reformatted,5,1.0,0.93,0.675
structured,50,truncated,5,1.0,0.675,0.35
structured,50,verbatim,5,1.0,0.935,0.675
structured,100,reformatted,5,1.0,0.94,0.7
structured,100,truncated,5,1.0,0.88,0.525
structured,100,verbatim,5,1.0,1.0,1.0
structured,200,reformatted,5,1.0,0.695,0.491
structured,200,truncated,5,0.8,0.556,0.0
structured,200,verbatim,5,1.0,0.838,0.491
structured,500,reformatted,5,1.0,1.0,1.0
structured,500,truncated,5,1.0,0.94,0.85
structured,500,verbatim,5,1.0,1.0,1.0
terse,25,reformatted,5,1.0,0.583,0.175
terse,25,truncated,5,1.0,0.427,0.25
terse,25,verbatim,5,1.0,0.634,0.425
terse,50,reformatted,5,1.0,0.622,0.4
terse,50,truncated,5,1.0,0.687,0.35
terse,50,verbatim,5,1.0,0.67,0.35
terse,100,reformatted,5,1.0,0.693,0.55
terse,100,truncated,5,1.0,0.885,0.775
terse,100,verbatim,5,1.0,0.975,0.875
terse,200,reformatted,5,1.0,0.827,0.786
terse,200,truncated,5,1.0,0.94,0.925
terse,200,verbatim,5,1.0,0.97,0.925
